Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Arroyos;TI009;26,25;25;4,43;7,81;Ausencia;Ausencia;Ausencia;Ausencia;2500;2000;140;8,6;0,05;0,69;0,52;9,2;29;17;0,09;0;0;0,13
Costaneras;VL031;25,12;25;7,51;8,62;Ausencia;Ausencia;Ausencia;Ausencia;1400;300;2200;8,9;0,8;0,85;0,49;15;94;19;0,09;0;0;0,01
Arroyos;TI009;25,8;25;9,29;8,83;Ausencia;Ausencia;Ausencia;Ausencia;3800;1600;1100;6,5;1,9;0,8;0,69;14;35;13;0,09;0;0;0,01
Ensenada;EN084;23;22;10,6;8,2;Ausencia;Ausencia;Ausencia;Ausencia;1200;100;20;6;0,05;0,4;0,39;1,9;29;26;0,09;0;0;0,04
Reservas y Puertos;SI022;24;23;9,59;7,94;Ausencia;Ausencia;Ausencia;Ausencia;1000;100;10;5,7;0,06;0,39;0,29;;29;26;0,09;0;0;0,03
Ensenada;EN084;23;22;12,15;8,5;Ausencia;Ausencia;Ausencia;Ausencia;1000;200;10;4,3;0,05;0,37;0,31;4,4;49;36;0,09;0;0;0,14
Berisso;BS095;23;20;7,91;7,93;Ausencia;Ausencia;Ausencia;Ausencia;3000;100;450;4,1;0,08;0,37;0,27;12;29;45;0,09;0;0;0,16
Costaneras;VL031;26;23;9,58;9,01;Ausencia;Ausencia;Ausencia;Ausencia;1100;300;1500;4;0,08;0,57;0,58;7,2;135;85;0,09;0;0;0,41
Berisso;BS095;;25;;;Ausencia;Ausencia;Ausencia;Ausencia;;;;5,6;0,05;0,33;0,32;3,1;29;45;0,09;0,01;0;0,05
Reservas y Puertos;SI022;23,4;27;10,34;9,16;Presencia;Presencia;Presencia;Presencia;1200;100;40;5,2;0,06;0,39;0,38;4,7;29;65;0,09;0;0;0,08
TOMA DE AGUA;EN082;24,7;27;7,17;8,11;Ausencia;Ausencia;Ausencia;Ausencia;750;300;130;6,3;0,05;0,35;0,24;1,9;29;34;0,09;0;0;0,01
Arroyos;TI009;24,2;27;3,54;7,76;Ausencia;Ausencia;Ausencia;Ausencia;5000;400;850;13,1;0,05;0,33;0,21;7,4;29;12;0,09;0;0;0,01
Ensenada;EN084;23,9;27;8,08;8,31;Ausencia;Ausencia;Ausencia;Ausencia;1800;100;80;8;0,1;0,27;0,22;1,9;29;35;0,09;0;0;0,02
Balnearios;BS092;22;20;6,59;7,91;Ausencia;Ausencia;Ausencia;Ausencia;700;100;360;2,9;0,05;1,3;0,5;5;29;11;0,09;0;0;0,01
Costaneras;VL031;20;18;6,56;8,11;Presencia;Presencia;Presencia;Presencia;150000;2800;20000;1,99;0,05;1,5;1,3;8,4;29;;0,09;0;0;0,01
Playas;BS091;20;18;6,03;7,3;Ausencia;Ausencia;Ausencia;Ausencia;3500;200;1800;1,9;0,23;1,4;0,44;5,4;47;18;0,09;0;0;0,01
Balnearios;BS092;20;17;7,4;7,84;Ausencia;Ausencia;Ausencia;Ausencia;5000;200;1100;2,2;0,45;0,44;0,68;;29;130;0,09;0,01;0;0,01
Playas;BS091;20;17;6,99;7,75;Ausencia;Ausencia;Ausencia;Ausencia;6000;100;7500;1,9;0,18;0,54;0,85;2,4;32;110;0,09;0,01;0;0,01
Canales;TI001;14,8;13;9,9;7,09;ausencia;ausencia;ausencia;ausencia;1000;200;68;2,1;1,1;0,2;0,1;2;30;27;100;0,005;0,001;0,01
Rios;TI006;14,5;13;2,54;6,8;ausencia;ausencia;ausencia;ausencia;10000;2000;150;2;4,7;0,48;0,57;6,8;30;22;100;0,005;0,001;0,013
Canales;TI001;14,7;14;2,3;6,8;Presencia;ausencia;ausencia;Presencia;30000;10000;240;2;3;0,57;0,58;5;30;21;100;0,005;0,001;0,01
Rios;TI006;14,4;11;3,31;6,79;ausencia;ausencia;ausencia;ausencia;10000;10000;1700;2,1;2,8;0,44;0,48;4,6;30;20;100;0,005;0,001;0,01
Rios;TI006;14,8;14;5,33;6,82;Presencia;ausencia;ausencia;ausencia;1000;500;100;2,2;0,8;0,36;0,35;2,1;30;21;100;0,005;0,001;0,01
Rios;TI006;14,4;8;1,46;6,8;Presencia;Presencia;Presencia;ausencia;100000;10000;400;2;5,7;0,65;0,68;8,6;30;16;100;0,005;0,001;0,011
Rios;TI006;14,4;8;4,88;6,76;Presencia;Presencia;Presencia;ausencia;14000;2000;690;2,1;2,5;0,43;0,37;2,9;30;16;100;0,005;0,001;0,01
